National Instruments Acquisition
Time    Acc002_z    Volt001
0.333984 2.212706 7.359914
0.334473 2.113972 7.760077
0.334961 1.989009 8.089499
0.335449 1.860824 8.314794
0.335938 1.745753 8.421063
0.336426 1.635816 8.396878
0.336914 1.544389 8.235848
0.337402 1.471884 7.933103
0.337891 1.394096 7.486206
0.338379 1.357937 6.900948
0.338867 1.359511 6.190919
0.339355 1.354265 5.370716
0.339844 1.350930 4.450816
0.340332 1.349207 3.461879
0.340820 1.373600 2.425764
0.341309 1.397730 1.345346
0.341797 1.404887 0.228593
0.342285 1.449439 -0.914961
0.342773 1.494141 -2.078094
0.343262 1.529963 -3.246476
0.343750 1.571180 -4.410300
0.344238 1.534459 -5.536685
0.344727 1.448165 -6.570686
0.345215 1.371389 -7.510437
0.345703 1.246913 -8.349969
0.346191 1.074626 -9.041791
0.346680 0.938946 -9.554425
0.347168 0.839838 -9.889430
0.347656 0.768457 -10.031355
0.348145 0.718884 -10.009632
0.348633 0.685348 -9.871787
0.349121 0.647653 -9.610631
0.349609 0.554503 -9.243393
0.350098 0.504855 -8.714677
0.350586 0.485595 -8.092598
0.351074 0.452359 -7.499703
0.351563 0.362506 -6.863085
0.352051 0.233758 -6.195687
0.352539 0.172907 -5.536151
0.353027 0.043710 -4.893013
0.353516 -0.091557 -4.288932
0.354004 -0.161514 -3.717353
0.354492 -0.323647 -3.185379
0.354980 -0.476488 -2.675622
0.355469 -0.557686 -2.215797
0.355957 -0.702658 -1.824100
0.356445 -0.850215 -1.473052
0.356934 -0.971431 -1.166933
0.357422 -1.129143 -0.905269
0.357910 -1.291201 -0.686689
0.358398 -1.486046 -0.507236
0.358887 -1.689883 -0.361668
0.359375 -1.874873 -0.243551
0.359863 -2.055929 -0.150011
0.360352 -2.179993 -0.089064
0.360840 -2.325826 -0.044063
0.361328 -2.557579 -0.005104
0.361816 -2.675123 0.023658
0.362305 -2.694045 0.051288
0.362793 -2.825041 0.083806
0.363281 -2.996204 0.125231
0.363770 -3.169204 0.182098
0.364258 -3.331150 0.259377
0.364746 -3.447008 0.361603
0.365234 -3.569872 0.495903
0.365723 -3.650058 0.665398
0.366211 -3.678835 0.877388
0.366699 -3.648597 1.133462
0.367188 -3.594565 1.427733
0.367676 -3.525957 1.778681
0.368164 -3.376189 2.189156
0.368652 -3.181794 2.649429
0.369141 -2.931456 3.158368
0.369629 -2.621878 3.705362
0.370117 -2.260066 4.277871
0.370605 -1.886302 4.859120
0.371094 -1.525951 5.447928
0.371582 -1.151775 6.029146
0.372070 -0.786066 6.578498
0.372559 -0.428976 7.076079
0.373047 -0.110854 7.498514
0.373535 0.203145 7.832779
0.374023 0.474579 8.061484
0.374512 0.709554 8.191939
0.375000 0.978814 8.182841
0.375488 1.118166 8.034519
0.375977 1.201499 7.836384
0.376465 1.312486 7.581827
0.376953 1.388550 7.253693
0.377441 1.452699 6.865098
0.377930 1.435538 6.438852
0.378418 1.384354 6.006937
0.378906 1.330247 5.566228
0.379395 1.237958 5.125421
0.379883 1.120751 4.691851
0.380371 0.972819 4.266199
0.380859 0.804990 3.858758
0.381348 0.607186 3.477209
0.381836 0.397765 3.120168
0.382324 0.194827 2.784091
0.382813 -0.013694 2.468945
0.383301 -0.222291 2.170680
0.383789 -0.430962 1.888066
0.384277 -0.630640 1.617947
0.384766 -0.814956 1.356428
0.385254 -0.989454 1.101240
0.385742 -1.146716 0.848487
0.386230 -1.279473 0.596126
0.386719 -1.373860 0.341468
0.387207 -1.440557 0.085551
0.387695 -1.498074 -0.174077
0.388184 -1.534307 -0.440830
0.388672 -1.544986 -0.712141
0.389160 -1.537342 -0.988354
0.389648 -1.528275 -1.266989
0.390137 -1.514223 -1.547633
0.390625 -1.489156 -1.827164
0.391113 -1.468247 -2.100467
0.391602 -1.455545 -2.372682
0.392090 -1.429616 -2.640784
0.392578 -1.378656 -2.897535
0.393066 -1.338114 -3.137864
0.393555 -1.313721 -3.360307
0.394043 -1.281047 -3.570141
0.394531 -1.250996 -3.762578
0.395020 -1.219109 -3.936635
0.395508 -1.173020 -4.090143
0.395996 -1.153311 -4.220755
0.396484 -1.118389 -4.329920
0.396973 -1.094033 -4.405013
0.397461 -1.196926 -4.460875
0.397949 -1.302817 -4.515138
0.398438 -1.330657 -4.556331
0.398926 -1.342797 -4.579033
0.399414 -1.345458 -4.584526
0.399902 -1.343996 -4.570029
0.400391 -1.338638 -4.529160
0.400879 -1.330133 -4.466173
0.401367 -1.329570 -4.394999
0.401855 -1.319828 -4.314929
0.402344 -1.302180 -4.215337
0.402832 -1.294686 -4.102182
0.403320 -1.270443 -3.959136
0.403809 -1.269468 -3.797905
0.404297 -1.272578 -3.657343
0.404785 -1.249909 -3.511951
0.405273 -1.246986 -3.355140
0.405762 -1.217647 -3.195381
0.406250 -1.185873 -3.026719
0.406738 -1.165901 -2.855071
0.407227 -1.116590 -2.678682
0.407715 -1.062146 -2.500223
0.408203 -1.011412 -2.320392
0.408691 -0.956256 -2.140775
0.409180 -0.865690 -1.963093
0.409668 -0.769917 -1.786360
0.410156 -0.716297 -1.614517
0.410645 -0.636186 -1.448538
0.411133 -0.551203 -1.288824
0.411621 -0.483982 -1.137136
0.412109 -0.357783 -0.993376
0.412598 -0.239077 -0.858120
0.413086 -0.110817 -0.732003
0.413574 0.049368 -0.615597
0.414063 0.201646 -0.509220
0.414551 0.425643 -0.413700
0.415039 0.656197 -0.329416
0.415527 0.865355 -0.256695
0.416016 1.058326 -0.197153
0.416504 1.181415 -0.148184
0.416992 1.273779 -0.110114
0.417480 1.337591 -0.078329
0.417969 1.379295 -0.056382
0.418457 1.437486 -0.040282
0.418945 1.510665 -0.015630
0.419434 1.543414 -0.005433
0.419922 1.625249 -0.007032
0.420410 1.762090 -0.004301
0.420898 1.803869 -0.006263
0.421387 1.862098 -0.006528
0.421875 1.976831 -0.004353
0.422363 2.077101 0.000784
