National Instruments Acquisition
Time    Acc001    Volt001
0.169922 -0.319356 0.022612
0.170410 -0.465532 0.022279
0.170898 -0.613676 0.021431
0.171387 -0.775711 0.020232
0.171875 -0.923590 0.018749
0.172363 -1.081197 0.017351
0.172852 -1.256214 0.015991
0.173340 -1.439483 0.014519
0.173828 -1.627028 0.012991
0.174316 -1.795762 0.011216
0.174805 -1.961923 0.009636
0.175293 -2.079295 0.008257
0.175781 -2.147008 0.006676
0.176270 -2.212678 0.005653
0.176758 -2.266803 0.004819
0.177246 -2.335122 0.003669
0.177734 -2.388490 0.002679
0.178223 -2.413168 0.001599
0.178711 -2.425658 0.000605
0.179199 -2.386749 -0.000202
0.179688 -2.326454 -0.001017
0.180176 -2.209385 -0.001682
0.180664 -2.099961 -0.002496
0.181152 -2.014496 -0.003397
0.181641 -1.867033 -0.004222
0.182129 -1.712871 -0.005000
0.182617 -1.525969 -0.005657
0.183105 -1.375062 -0.006431
0.183594 -1.173247 -0.007197
0.184082 -0.928435 -0.007918
0.184570 -0.761404 -0.008706
0.185059 -0.550051 -0.009472
0.185547 -0.357812 -0.010257
0.186035 -0.176701 -0.011094
0.186523 -0.007550 -0.011800
0.187012 0.124318 -0.012278
0.187500 0.237906 -0.012831
0.187988 0.331357 -0.013343
0.188477 0.411485 -0.013646
0.188965 0.453536 -0.014116
0.189453 0.493543 -0.014445
0.189941 0.498880 -0.014662
0.190430 0.486162 -0.014815
0.190918 0.445322 -0.014524
0.191406 0.374960 -0.014374
0.191895 0.310350 -0.014128
0.192383 0.226891 -0.013578
0.192871 0.133970 -0.013048
0.193359 0.027347 -0.012222
0.193848 -0.069018 -0.011434
0.194336 -0.173067 -0.010402
0.194824 -0.284913 -0.009050
0.195313 -0.388584 -0.007828
0.195801 -0.494033 -0.006233
0.196289 -0.573253 -0.004525
0.196777 -0.652359 -0.002795
0.197266 -0.700769 -0.000718
0.197754 -0.765530 0.001292
0.198242 -0.810268 0.003515
0.198730 -0.807051 0.005933
0.199219 -0.866059 0.008111
0.199707 -0.878549 0.010375
0.200195 -0.901486 0.012789
0.200684 -0.922682 0.015102
0.201172 -0.887557 0.017269
0.201660 -0.942856 0.019268
0.202148 -1.019085 0.021106
0.202637 -1.060606 0.023206
0.203125 -1.109584 0.025325
0.203613 -1.128395 0.026879
0.204102 -1.134451 0.028411
0.204590 -1.148380 0.030059
0.205078 -1.130742 0.031318
0.205566 -1.104134 0.032222
0.206055 -1.091605 0.033051
0.206543 -1.050084 0.033821
0.207031 -1.018555 0.034307
0.207520 -0.984642 0.034662
0.208008 -0.909851 0.034830
0.208496 -0.905044 0.034692
0.208984 -0.873931 0.034665
0.209473 -0.832902 0.034546
0.209961 -0.820525 0.034206
0.210449 -0.776090 0.033642
0.210938 -0.784644 0.033096
0.211426 -0.760155 0.032734
0.211914 -0.742063 0.031979
0.212402 -0.737672 0.031202
0.212891 -0.712843 0.030328
0.213379 -0.731881 0.029158
0.213867 -0.704440 0.027985
0.214355 -0.707052 0.026333
0.214844 -0.717574 0.024540
0.215332 -0.681806 0.022829
0.215820 -0.691306 0.020493
0.216309 -0.682752 0.018091
0.216797 -0.669694 0.015819
0.217285 -0.644864 0.013152
0.217773 -0.632071 0.010618
0.218262 -0.620451 0.008104
0.218750 -0.583396 0.005410
0.219238 -0.568938 0.002693
0.219727 -0.528212 0.000127
0.220215 -0.492633 -0.002145
0.220703 -0.448727 -0.004551
0.221191 -0.403194 -0.006827
0.221680 -0.362392 -0.008814
0.222168 -0.321438 -0.010739
0.222656 -0.282150 -0.012375
0.223145 -0.207927 -0.013937
0.223633 -0.162772 -0.015297
0.224121 -0.086770 -0.016388
0.224609 -0.035256 -0.017509
0.225098 -0.018375 -0.018297
0.225586 0.052480 -0.018865
0.226074 0.089875 -0.019325
0.226563 0.138323 -0.019508
0.227051 0.198088 -0.019627
0.227539 0.281584 -0.019642
0.228027 0.371818 -0.019243
0.228516 0.439569 -0.018746
0.229004 0.543505 -0.018223
0.229492 0.656524 -0.017419
0.229980 0.796682 -0.016724
0.230469 0.946378 -0.015723
0.230957 1.155876 -0.014512
0.231445 1.377184 -0.013320
0.231934 1.537591 -0.011830
0.232422 1.706325 -0.010421
0.232910 1.779337 -0.008762
0.233398 1.835469 -0.007047
0.233887 1.910676 -0.005399
0.234375 1.952273 -0.003662
0.234863 2.019191 -0.002070
0.235352 2.064460 -0.000183
0.235840 2.107192 0.001670
0.236328 2.127555 0.003374
0.236816 2.136942 0.005275
0.237305 2.142354 0.007031
