National Instruments Acquisition
Time    Acc002_z    Volt001
0.227051 -0.359956 2.296792
0.227539 -0.377979 2.284238
0.228027 -0.397351 2.269861
0.228516 -0.411627 2.251721
0.229004 -0.428601 2.228301
0.229492 -0.456329 2.206948
0.229980 -0.477387 2.186783
0.230469 -0.489003 2.164354
0.230957 -0.497359 2.139989
0.231445 -0.501780 2.112718
0.231934 -0.502567 2.082726
0.232422 -0.503991 2.048150
0.232910 -0.506089 2.010259
0.233398 -0.502005 1.970351
0.233887 -0.494136 1.927854
0.234375 -0.477162 1.883452
0.234863 -0.460151 1.835548
0.235352 -0.446175 1.784412
0.235840 -0.426316 1.730104
0.236328 -0.409904 1.673065
0.236816 -0.386747 1.614449
0.237305 -0.360818 1.553984
0.237793 -0.333614 1.491991
0.238281 -0.304050 1.428129
0.238770 -0.276735 1.363079
0.239258 -0.239115 1.296897
0.239746 -0.203818 1.229221
0.240234 -0.162601 1.160621
0.240723 -0.119548 1.091790
0.241211 -0.083988 1.024024
0.241699 -0.038874 0.956684
0.242188 0.005378 0.889833
0.242676 0.052178 0.824462
0.243164 0.097629 0.760089
0.243652 0.143755 0.697878
0.244141 0.198312 0.637585
0.244629 0.249458 0.578816
0.245117 0.298357 0.523111
0.245605 0.344632 0.469999
0.246094 0.394580 0.419599
0.246582 0.446626 0.371789
0.247070 0.494101 0.326377
0.247559 0.538953 0.283693
0.248047 0.582418 0.243408
0.248535 0.622736 0.205514
0.249023 0.661480 0.169794
0.249512 0.706144 0.136287
0.250000 0.749460 0.103851
0.250488 0.790415 0.072567
0.250977 0.830358 0.042411
0.251465 0.868240 0.011739
0.251953 0.905898 -0.018570
0.252441 0.939920 -0.048928
0.252930 0.973531 -0.080224
0.253418 1.004444 -0.112453
0.253906 1.032996 -0.147284
0.254395 1.061961 -0.185278
0.254883 1.089876 -0.227708
0.255371 1.112995 -0.274988
0.255859 1.133079 -0.326725
0.256348 1.151477 -0.384235
0.256836 1.162755 -0.447275
0.257324 1.172085 -0.516397
0.257813 1.166128 -0.591730
0.258301 1.149528 -0.672741
0.258789 1.137013 -0.759129
0.259277 1.115880 -0.850005
0.259766 1.092124 -0.947841
0.260254 1.067057 -1.053520
0.260742 1.041052 -1.165663
0.261230 1.015160 -1.283967
0.261719 0.982599 -1.407430
0.262207 0.951274 -1.535378
0.262695 0.919799 -1.666793
0.263184 0.885439 -1.801029
0.263672 0.852240 -1.937121
0.264160 0.817206 -2.073584
0.264648 0.783033 -2.208683
0.265137 0.749872 -2.340482
0.265625 0.715737 -2.465560
0.266113 0.686285 -2.581768
0.266602 0.661367 -2.694823
0.267090 0.636600 -2.806820
0.267578 0.608197 -2.914621
0.268066 0.576385 -3.017139
0.268555 0.541426 -3.112509
0.269043 0.507440 -3.199080
0.269531 0.475703 -3.275709
0.270020 0.437971 -3.341872
0.270508 0.406046 -3.395926
0.270996 0.374384 -3.437945
0.271484 0.336501 -3.468340
0.271973 0.303228 -3.485456
0.272461 0.264371 -3.490635
0.272949 0.224691 -3.483995
0.273438 0.181937 -3.464940
0.273926 0.139446 -3.434564
0.274414 0.099840 -3.393520
0.274902 0.052216 -3.341465
0.275391 0.011935 -3.278410
0.275879 -0.029769 -3.205615
0.276367 -0.074733 -3.122814
0.276855 -0.115950 -3.031251
0.277344 -0.164549 -2.932858
0.277832 -0.211724 -2.828603
0.278320 -0.260398 -2.718590
0.278809 -0.310046 -2.603159
0.279297 -0.356209 -2.482251
0.279785 -0.405445 -2.355353
0.280273 -0.447748 -2.225310
0.280762 -0.486455 -2.093551
0.281250 -0.525611 -1.963119
0.281738 -0.564955 -1.829578
0.282227 -0.600327 -1.690963
